,id,content,content_clean,sentiment,subjectivity,polarity,analysis
10,UgxafxitLHMSIyIFcg14AaABAg.9TGnAhhnhxk9UODP1x-idZ,@Mike Grayrat also the Tesla has panel gaps so big that you could slide through them and into the car., Grayrat also the Tesla has panel gaps so big that you could slide through them and into the car,4,0.1,0.0,Neutral
11,UgxafxitLHMSIyIFcg14AaABAg.9TGnAhhnhxk9UOCwd7WTMd,@Mike Grayrat a Tesla can’t brake for its own battery life., Grayrat a Tesla can’t brake for its own battery life,1,1.0,0.6,Positive
12,UgxafxitLHMSIyIFcg14AaABAg.9TGnAhhnhxk9UISo2ruA5s,Set up.,Set up,5,0.0,0.0,Neutral
13,UgxafxitLHMSIyIFcg14AaABAg.9TGnAhhnhxk9UFr8eS8zCt,@Mike Grayrat 130k for the build quality of a toy, Grayrat 130k for the build quality of a toy,4,0.0,0.0,Neutral
14,UgxafxitLHMSIyIFcg14AaABAg.9TGnAhhnhxk9UF-UkENtig,Of a* car. Even a Yugo is better than that scooter.,Of a car Even a Yugo is better than that scooter,5,0.5,0.5,Positive
15,UgxafxitLHMSIyIFcg14AaABAg.9TGnAhhnhxk9UAxCm4KNi1,Gazoline has been replaced by coal. Congratulations !,Gazoline has been replaced by coal Congratulations ,1,0.0,0.0,Neutral
16,UgxafxitLHMSIyIFcg14AaABAg.9TGnAhhnhxk9TrOyJ-HMDc,"Incorrect. He was just being annoying, self serving and dangerous",Incorrect He was just being annoying self serving and dangerous,1,0.9,-0.7,Negative
17,UgxafxitLHMSIyIFcg14AaABAg.9TGnAhhnhxk9TkLqE7if_9,"@Phoenix  𝙾𝚙𝚎𝚗 𝙼𝚢 PROFILE you mean a motorcycle that weighs so little and only delivers power to one wheel? You can't compare a car (which you might survive in Am 80mph crash) to dying on a notice street bike
- FORMER biker","  𝙾𝚙𝚎𝚗 𝙼𝚢 PROFILE you mean a motorcycle that weighs so little and only delivers power to one wheel You cant compare a car which you might survive in Am 80mph crash to dying on a notice street bike
 FORMER biker",1,0.546875,-0.125,Negative
18,UgxafxitLHMSIyIFcg14AaABAg.9TGnAhhnhxk9TfxUwCLEWl,@Mike Grayrat one of those spec sheets are made up, Grayrat one of those spec sheets are made up,3,0.0,0.0,Neutral
19,UgxafxitLHMSIyIFcg14AaABAg.9TGnAhhnhxk9TLwR9jnCwk,@Mike Grayrat S T A T S lol. It is not only stats in the brochure what makes up a car. Ballista is over priced trash? More like S plaid's platform is trash. It can't even hope to touch Ballista on a race track., Grayrat S T A T S lol It is not only stats in the brochure what makes up a car Ballista is over priced trash More like S plaids platform is trash It cant even hope to touch Ballista on a race track,1,0.7333333333333334,0.43333333333333335,Positive
20,UgxafxitLHMSIyIFcg14AaABAg.9TGnAhhnhxk9TJP-GOpnid,"He was probably Italian based on the gestures, and he just smelled the Italian design.",He was probably Italian based on the gestures and he just smelled the Italian design,2,0.0,0.0,Neutral
21,UgxafxitLHMSIyIFcg14AaABAg.9TGnAhhnhxk9TJL0YB7yZT,@Mike Grayrat WOW VeRy CoOl, Grayrat WOW VeRy CoOl,5,0.9225000000000001,0.27749999999999997,Positive
22,UgxafxitLHMSIyIFcg14AaABAg.9TGnAhhnhxk9TJGK2CpExQ,"@Harbir Singh something that I really don't like. 
I will be happy when tesla roadster 2.0 comes to the market and smash all this wannabe hypercars with some real performance rather than carbon this and leather that. 
The same reason why I love viper, Camero zle, corvette c7 zr1, and  Porsche gt3. Even though porche is costly it delivers"," Singh something that I really dont like 
I will be happy when tesla roadster 20 comes to the market and smash all this wannabe hypercars with some real performance rather than carbon this and leather that 
The same reason why I love viper Camero zle corvette c7 zr1 and  Porsche gt3 Even though porche is costly it delivers",4,0.445,0.33999999999999997,Positive
23,UgxafxitLHMSIyIFcg14AaABAg.9TGnAhhnhxk9TIcGs5uNnc,"@Mike Grayrat check out the carbon fibre on and inside that thing. Carbon fibre is expensive. Plus every single material on this thing is many times the cost of materials of a regular consumer car. That's hyper car for you. 

Also, in that market your manufacturing is not as automated as Tesla's is, which increases the cost. Not as many cars are produced, so each car needs to be much more expensive to make profit. Add to that the brand cost. Brand is what counts when you enter the ultra luxury market. 

And that's how you get a price in millions."," Grayrat check out the carbon fibre on and inside that thing Carbon fibre is expensive Plus every single material on this thing is many times the cost of materials of a regular consumer car Thats hyper car for you 

Also in that market your manufacturing is not as automated as Teslas is which increases the cost Not as many cars are produced so each car needs to be much more expensive to make profit Add to that the brand cost Brand is what counts when you enter the ultra luxury market 

And thats how you get a price in millions",2,0.4558869701726845,0.06122448979591837,Positive
24,UgxafxitLHMSIyIFcg14AaABAg.9TGnAhhnhxk9TI_iTNKa7e,@Mike Grayrat okay mike, Grayrat okay mike,3,0.5,0.5,Positive
25,UgxafxitLHMSIyIFcg14AaABAg.9TGnAhhnhxk9TIQf3BAnHU,"Not ganna lie to u the stats are pretty much identical to the new tesla and at 131,000$ and hose 0 to 60 in 2 seconds and has 390 mile and has more room so this super car I simply don't care about its over priced trash",Not ganna lie to u the stats are pretty much identical to the new tesla and at 131000 and hose 0 to 60 in 2 seconds and has 390 mile and has more room so this super car I simply dont care about its over priced trash,1,0.5297258297258297,0.2366161616161616,Positive
26,UgxT5qEJMpnRliPRHZh4AaABAg,That’s officially the best looking EV I’ve ever seen.,That’s officially the best looking EV I’ve ever seen,5,0.3,1.0,Positive
27,UgxT5qEJMpnRliPRHZh4AaABAg.9TOpeQDgPIZ9XKeXq4otcQ,"Exactly

It doesn't have the usual electric car stupid design choices like funny looking wheels or blocked air ducts lol

Why is it so important to make electric cars look different and uglier lol

Look at the electric hummer too.  Ugliest car I've ever seen with all the rounded body parts","Exactly

It doesnt have the usual electric car stupid design choices like funny looking wheels or blocked air ducts lol

Why is it so important to make electric cars look different and uglier lol

Look at the electric hummer too  Ugliest car Ive ever seen with all the rounded body parts",1,0.6875,0.18125000000000002,Positive
28,UgxT5qEJMpnRliPRHZh4AaABAg.9TOpeQDgPIZ9WXtWRBtLh0,@Oliver Smiddy this one looks better. Italian style, Smiddy this one looks better Italian style,2,0.25,0.25,Positive
29,UgxT5qEJMpnRliPRHZh4AaABAg.9TOpeQDgPIZ9VBM7dKPT3N,@Ryuk used to. Pininfarina dont design Ferrari anymore. They got they own design studio but these days ones dont know. Its still Ferrari but it does not had charming as it used to be for decades., used to Pininfarina dont design Ferrari anymore They got they own design studio but these days ones dont know Its still Ferrari but it does not had charming as it used to be for decades,3,1.0,0.6499999999999999,Positive
30,UgxT5qEJMpnRliPRHZh4AaABAg.9TOpeQDgPIZ9UzHsb7W8Ok,I know taste is very individual but I'm just not seeing anything special in this car. It looks like a car from a videogame where they don't have the license for actual manufacturers so they just make their own versions.,I know taste is very individual but Im just not seeing anything special in this car It looks like a car from a videogame where they dont have the license for actual manufacturers so they just make their own versions,2,0.5478571428571428,0.23928571428571427,Positive
31,UgxT5qEJMpnRliPRHZh4AaABAg.9TOpeQDgPIZ9UgmkN8CRUX,@Steven Lewis leaf is on another level 😈, Lewis leaf is on another level 😈,3,0.0,0.0,Neutral
32,UgxT5qEJMpnRliPRHZh4AaABAg.9TOpeQDgPIZ9Ub7Q_Mjkwy,Aspark Owl... thank me later,Aspark Owl thank me later,5,0.0,0.0,Neutral
33,UgxT5qEJMpnRliPRHZh4AaABAg.9TOpeQDgPIZ9UQDSljiflK,"It does look stunning. But, if we're talking purely looks, my favourite remains the Concept_one.",It does look stunning But if were talking purely looks my favourite remains the Conceptone,3,0.75,0.35714285714285715,Positive
34,UgxT5qEJMpnRliPRHZh4AaABAg.9TOpeQDgPIZ9U75OCO0OPe,You need to see vazirani shul,You need to see vazirani shul,3,0.0,0.0,Neutral
35,UgxT5qEJMpnRliPRHZh4AaABAg.9TOpeQDgPIZ9TzcPM00B6t,These guys design Ferraris,These guys design Ferraris,5,0.0,0.0,Neutral
36,UgxT5qEJMpnRliPRHZh4AaABAg.9TOpeQDgPIZ9ToSTSRMEaU,@Ben Sykes thank you 😊, Sykes thank you 😊,5,0.0,0.0,Neutral
37,UgxT5qEJMpnRliPRHZh4AaABAg.9TOpeQDgPIZ9ToOGfEOffW,"@Steven Lewis Perhaps the best comment so far. Well done Steven, 10 out of 10 would recommend.", Lewis Perhaps the best comment so far Well done Steven 10 out of 10 would recommend,5,0.65,0.55,Positive
38,UgxT5qEJMpnRliPRHZh4AaABAg.9TOpeQDgPIZ9TnAsbx5slR,You obviously haven’t seen the new Leaf?,You obviously haven’t seen the new Leaf,1,0.4772727272727273,0.06818181818181818,Positive
39,UgxT5qEJMpnRliPRHZh4AaABAg.9TOpeQDgPIZ9Tm1tQoDaXf,@Ben Sykes Evija looks like koenigsegg ccx on electric steroids. It look old and weird., Sykes Evija looks like koenigsegg ccx on electric steroids It look old and weird,1,0.6,-0.2,Negative
40,UgxT5qEJMpnRliPRHZh4AaABAg.9TOpeQDgPIZ9TggPdeNidn,"@Oliver Smiddy The Evija and the one in this vid (idk hot to spell it) are too different the Evija looks like something from the future that can hover and is also a modern sculpture, this one is more conventional, but also better looking than a lot of other super cars nowadays.", Smiddy The Evija and the one in this vid idk hot to spell it are too different the Evija looks like something from the future that can hover and is also a modern sculpture this one is more conventional but also better looking than a lot of other super cars nowadays,3,0.4748677248677249,0.1683862433862434,Positive
41,UgxT5qEJMpnRliPRHZh4AaABAg.9TOpeQDgPIZ9TXCvX1ODx-,Pininfarina did well with this automobile. Lotus knocked it out the park with the Evija.,Pininfarina did well with this automobile Lotus knocked it out the park with the Evija,4,0.0,0.0,Neutral
42,UgxT5qEJMpnRliPRHZh4AaABAg.9TOpeQDgPIZ9TVbaWOddA_,"made by pininfarina, it should be good looking",made by pininfarina it should be good looking,3,0.6000000000000001,0.7,Positive
43,UgxT5qEJMpnRliPRHZh4AaABAg.9TOpeQDgPIZ9TTroc4g7zU,You need to take a look at an Evija then. They are stunning.,You need to take a look at an Evija then They are stunning,5,1.0,0.5,Positive
44,UgyGIR4g4YGrmJsPg994AaABAg,"I really miss the days when a Top Gear presenter told you about the sound it made, then actually shut their pie-hole for more than a nanosecond to let us hear it….",I really miss the days when a Top Gear presenter told you about the sound it made then actually shut their piehole for more than a nanosecond to let us hear it…,2,0.34,0.32,Positive
45,UgyGIR4g4YGrmJsPg994AaABAg.9TP4pp20HCF9cRVBCV3wiZ,"Which is why I prefer Jeremy, James, and Richard over the new guys because they respect the noises the cars make and then compare it to something.",Which is why I prefer Jeremy James and Richard over the new guys because they respect the noises the cars make and then compare it to something,4,0.45454545454545453,0.13636363636363635,Positive
46,UgyGIR4g4YGrmJsPg994AaABAg.9TP4pp20HCF9c8RIjYQ4F_,"That’s exactly what i would comment, are you reading my mind? Really the first comment predicted me",That’s exactly what i would comment are you reading my mind Really the first comment predicted me,5,0.2611111111111111,0.2333333333333333,Positive
47,UgyGIR4g4YGrmJsPg994AaABAg.9TP4pp20HCF9c067G_tESH,theres nothing to hear...,theres nothing to hear,1,0.0,0.0,Neutral
48,UgyGIR4g4YGrmJsPg994AaABAg.9TP4pp20HCF9btqBn-wX9_,I thought I was tripping 😂 had to check the comments and the first one says it all😭,I thought I was tripping 😂 had to check the comments and the first one says it all😭,2,0.3333333333333333,0.25,Positive
49,UgyGIR4g4YGrmJsPg994AaABAg.9TP4pp20HCF9bcEi40g3oP,because there is no sound lol,because there is no sound lol,1,0.55,0.30000000000000004,Positive
50,UgyGIR4g4YGrmJsPg994AaABAg.9TP4pp20HCF9a0gIFCQGri,"@BONGOPRO ,22²²²", 22²²²,1,0.0,0.0,Neutral
51,UgyGIR4g4YGrmJsPg994AaABAg.9TP4pp20HCF9_HcGuvt6KB,If only You tube would allow me to give a comment several likes....yours would have had them all.,If only You tube would allow me to give a comment several likesyours would have had them all,3,0.5,0.0,Neutral
52,UgyGIR4g4YGrmJsPg994AaABAg.9TP4pp20HCF9ZzN1JenrJ1,Dude yes...I was waiting and waiting for him to shut his trap. Even turned up the audio to hear his nonsensical rambling 😫,Dude yesI was waiting and waiting for him to shut his trap Even turned up the audio to hear his nonsensical rambling 😫,1,0.0,0.0,Neutral
53,UgyGIR4g4YGrmJsPg994AaABAg.9TP4pp20HCF9XFf-zjosV-,Stop complaining or why are you here to see this...,Stop complaining or why are you here to see this,1,0.0,0.0,Neutral
54,UgyGIR4g4YGrmJsPg994AaABAg.9TP4pp20HCF9WqrzToiNTa,"Couldn't have said it better, plus, Jeremy was something else, even when he didnt shut up, people wouldnt care yk? Such an entertainer",Couldnt have said it better plus Jeremy was something else even when he didnt shut up people wouldnt care yk Such an entertainer,1,0.5,0.25,Positive
55,UgyGIR4g4YGrmJsPg994AaABAg.9TP4pp20HCF9WbH80781fv,yeah was looking for this comment and im happy that ur at the top,yeah was looking for this comment and im happy that ur at the top,5,0.75,0.65,Positive
56,UgyGIR4g4YGrmJsPg994AaABAg.9TP4pp20HCF9VmmXizUNh3,@Marvin Heemeyer yep mate.. sadly wont be the same anymore.They literally shot a bullet in their foot but if thats a consolation man you should try harris review of the vulcan though, Heemeyer yep mate sadly wont be the same anymoreThey literally shot a bullet in their foot but if thats a consolation man you should try harris review of the vulcan though,3,0.5625,-0.25,Negative
57,UgyGIR4g4YGrmJsPg994AaABAg.9TP4pp20HCF9UZmnHSmv88,"This is top gear, i didn't even noticed 
Though that this was a random youtuber","This is top gear i didnt even noticed 
Though that this was a random youtuber",5,0.5,0.0,Neutral
58,UgyGIR4g4YGrmJsPg994AaABAg.9TP4pp20HCF9UISrYO4G81,Hello darkness my old friend ….,Hello darkness my old friend …,5,0.2,0.1,Positive
59,UgyGIR4g4YGrmJsPg994AaABAg.9TP4pp20HCF9U26baX07ZL,blame the editor for that not the presenter. im sure there was more than enough footage of him silently driving but editor filled with talking parts,blame the editor for that not the presenter im sure there was more than enough footage of him silently driving but editor filled with talking parts,1,0.5777777777777777,0.27999999999999997,Positive
60,UgyGIR4g4YGrmJsPg994AaABAg.9TP4pp20HCF9TzPSEYSZg-,"@BONGOPRO the cars exterior is designed in a way that it produce a sound at highspeed with the help of wind.
It's shown in donet media"," the cars exterior is designed in a way that it produce a sound at highspeed with the help of wind
Its shown in donet media",4,0.4,0.4,Positive
61,UgyGIR4g4YGrmJsPg994AaABAg.9TP4pp20HCF9ThevzUTxkV,"NOBODY will ever be as great as the original 3 wise men, the holy trinity of car enthusiasts.",NOBODY will ever be as great as the original 3 wise men the holy trinity of car enthusiasts,1,0.7999999999999999,0.625,Positive
62,UgyGIR4g4YGrmJsPg994AaABAg.9TP4pp20HCF9TbRLpNcFgh,What sound ? The only sound I can tolerate is my electric shaver but on cars 🤔 no,What sound  The only sound I can tolerate is my electric shaver but on cars 🤔 no,3,0.6,0.26666666666666666,Positive
63,UgyGIR4g4YGrmJsPg994AaABAg.9TP4pp20HCF9Ta-U995dy3,Yes! I was annoyed too.,Yes I was annoyed too,2,0.8,-0.4,Negative
64,UgyGIR4g4YGrmJsPg994AaABAg.9TP4pp20HCF9TYUKZAsO6E,"Yea, they could have at least let us hear the speaker sound for a second.",Yea they could have at least let us hear the speaker sound for a second,3,0.26666666666666666,0.03333333333333335,Positive
65,UgyGIR4g4YGrmJsPg994AaABAg.9TP4pp20HCF9TXiLS2qeLJ,"I know right, he honestly wouldn’t stfu",I know right he honestly wouldn’t stfu,2,0.7178571428571429,0.44285714285714284,Positive
66,Ugx7TQNrbw0hZL4v9J54AaABAg,Much love to the guy on the scooter for that priceless level of appreciation.,Much love to the guy on the scooter for that priceless level of appreciation,5,0.8,0.75,Positive
67,Ugx7TQNrbw0hZL4v9J54AaABAg.9XISHR7Vja59aIxO5lfkVu,meh dude was a smudge of dirt in the screen his irrelevant in the subject,meh dude was a smudge of dirt in the screen his irrelevant in the subject,2,0.6666666666666666,-0.3333333333333333,Negative
68,Ugw-vKyX6zApkCVF7Rl4AaABAg,Looks amazing! With a proper engine it would be a dreamcar👍🏻,Looks amazing With a proper engine it would be a dreamcar👍🏻,4,0.5,0.30000000000000004,Positive
69,Ugw-vKyX6zApkCVF7Rl4AaABAg.9Y5Zrd7uFDP9bTP_S5oECV,nah an engine would ruin it,nah an engine would ruin it,2,0.0,0.0,Neutral
70,UgxWSwRFsuhN4aL08jd4AaABAg,What I enjoyed the most was the look of this car. It is gorgeous.,What I enjoyed the most was the look of this car It is gorgeous,5,0.7000000000000001,0.5666666666666667,Positive
71,UgxWSwRFsuhN4aL08jd4AaABAg.9TGD1okEO5T9XKeBu4Zcoi,"@JOE BI-DOME just realizing that actually

The designers over there really don't make a lot of wild designs like Lamborghini or mercedes"," BIDOME just realizing that actually

The designers over there really dont make a lot of wild designs like Lamborghini or mercedes",2,0.23333333333333336,0.10000000000000002,Positive
72,UgxWSwRFsuhN4aL08jd4AaABAg.9TGD1okEO5T9VwKAkZ2Dec,@Gabriel Okumu I know what you mean. Like a beautiful woman 👩. (: 🤤, Okumu I know what you mean Like a beautiful woman 👩  🤤,5,0.84375,0.26875,Positive
73,UgxWSwRFsuhN4aL08jd4AaABAg.9TGD1okEO5T9VwK2EVBxTL,@Young Renzel Ouch 😣 😓 🤕, Renzel Ouch 😣 😓 🤕,3,0.0,0.0,Neutral
74,UgxWSwRFsuhN4aL08jd4AaABAg.9TGD1okEO5T9VwJz34SzWi,@Austimo 3000 Yes they do and thankfully so. (:, 3000 Yes they do and thankfully so ,5,0.0,0.0,Neutral
75,UgxWSwRFsuhN4aL08jd4AaABAg.9TGD1okEO5T9VwJvcVUWCV,@Haramberino Kripperino LOL 😂, Kripperino LOL 😂,5,0.7,0.8,Positive
76,UgxWSwRFsuhN4aL08jd4AaABAg.9TGD1okEO5T9VpzbipmUS5,@Terabit tell that it rimac, tell that it rimac,3,0.0,0.0,Neutral
77,UgxWSwRFsuhN4aL08jd4AaABAg.9TGD1okEO5T9UULw91jX3A,@Terabit i agree ong but it looks cool, i agree ong but it looks cool,3,0.65,0.35,Positive
78,UgxWSwRFsuhN4aL08jd4AaABAg.9TGD1okEO5T9UTpy3_YWEm,It's a 2.5million BULLSHIT! No sound no gears. Overweighted (due to the bullshit batteries). Many cons!,Its a 25million BULLSHIT No sound no gears Overweighted due to the bullshit batteries Many cons,1,0.425,0.05833333333333333,Positive
79,UgxWSwRFsuhN4aL08jd4AaABAg.9TGD1okEO5T9TjdACXRgk2,"Leave it to Italians to build cars beautiful enough to make you drool, damn!!",Leave it to Italians to build cars beautiful enough to make you drool damn,5,0.75,0.425,Positive
80,UgxWSwRFsuhN4aL08jd4AaABAg.9TGD1okEO5T9TjYyKBPIok,@KW gas needs to change. We need more electric cars the climate is slowly getting fucked up, gas needs to change We need more electric cars the climate is slowly getting fucked up,2,0.5333333333333333,-0.13333333333333333,Negative
81,UgxWSwRFsuhN4aL08jd4AaABAg.9TGD1okEO5T9TSOutNzt9c,@Young Renzel yes and? like you can afford it.., Renzel yes and like you can afford it,5,0.0,0.0,Neutral
82,UgxWSwRFsuhN4aL08jd4AaABAg.9TGD1okEO5T9TOw4Z19RcL,65% Rimac Nevera.,65 Rimac Nevera,1,0.0,0.0,Neutral
83,UgxWSwRFsuhN4aL08jd4AaABAg.9TGD1okEO5T9TO5Cw93Tnk,@KW So?, So,3,0.0,0.0,Neutral
84,UgxWSwRFsuhN4aL08jd4AaABAg.9TGD1okEO5T9TMaNSt-giz,"@Austimo 3000 didn’t know that, but I thought they were copying ferrari, it looked too much like one", 3000 didn’t know that but I thought they were copying ferrari it looked too much like one,2,0.2,0.2,Positive
85,UgxWSwRFsuhN4aL08jd4AaABAg.9TGD1okEO5T9TLljwWWjKY,@Voloder Hadžimuratsefimović it special that you can't afford it., Hadžimuratsefimović it special that you cant afford it,4,0.5714285714285714,0.35714285714285715,Positive
86,UgxWSwRFsuhN4aL08jd4AaABAg.9TGD1okEO5T9TLddV8DEtG,literally nothing special,literally nothing special,2,0.5714285714285714,0.35714285714285715,Positive
87,UgxWSwRFsuhN4aL08jd4AaABAg.9TGD1okEO5T9TJRA5YU5IZ,"@Austimo 3000 I'm aware thats why im not exactly fond of some of their projects, sometimes it reminds me of a rimac under a ferrari body shell", 3000 Im aware thats why im not exactly fond of some of their projects sometimes it reminds me of a rimac under a ferrari body shell,3,0.25,0.0625,Positive
88,UgxWSwRFsuhN4aL08jd4AaABAg.9TGD1okEO5T9TIVTT7Wh7u,@JOE BI-DOME Ferrari works with Pininfarina for many of their own designs...., BIDOME Ferrari works with Pininfarina for many of their own designs,5,0.75,0.55,Positive
89,UgxWSwRFsuhN4aL08jd4AaABAg.9TGD1okEO5T9TIGfJtrOAk,Electric is not my cup of tea but it is a good looking car.,Electric is not my cup of tea but it is a good looking car,3,0.6000000000000001,0.7,Positive
90,UgxWSwRFsuhN4aL08jd4AaABAg.9TGD1okEO5T9THqqnrVi4P,@KW stupid gas car… they ruined the horses we used to go anywhere, stupid gas car… they ruined the horses we used to go anywhere,1,1.0,-0.7999999999999999,Negative
91,UgxWSwRFsuhN4aL08jd4AaABAg.9TGD1okEO5T9THj-tD6u5k,Same here,Same here,3,0.125,0.0,Neutral
92,UgxWSwRFsuhN4aL08jd4AaABAg.9TGD1okEO5T9THQRnG93a1,It really is 😍 so stunning,It really is 😍 so stunning,5,1.0,0.5,Positive
93,UgxWSwRFsuhN4aL08jd4AaABAg.9TGD1okEO5T9THOI7Pl6Vk,@JOE BI-DOME  It's not a rip off of anything. It's in its own class of beauty., BIDOME  Its not a rip off of anything Its in its own class of beauty,5,1.0,0.6,Positive
94,UgxWSwRFsuhN4aL08jd4AaABAg.9TGD1okEO5T9THNHBxkh2B,mehhh its pretty much a rip off of a 488 pista,mehhh its pretty much a rip off of a 488 pista,3,0.6,0.225,Positive
95,UgxWSwRFsuhN4aL08jd4AaABAg.9TGD1okEO5T9THKr6J8kJ1,It’s electric.. ruins all of it,It’s electric ruins all of it,1,0.2,-0.15,Negative
96,UgxWSwRFsuhN4aL08jd4AaABAg.9TGD1okEO5T9TGd-2-Rk82,So true,So true,5,0.65,0.35,Positive
97,Ugzx_dNJs6EETK7ynVx4AaABAg,"amazing car! great review, you guys do an excellent job!!!",amazing car great review you guys do an excellent job,5,0.8833333333333333,0.8000000000000002,Positive
98,UgwtikCSlkqTzOPiTFt4AaABAg,Totally impressed with the look of that beautiful machine 😍,Totally impressed with the look of that beautiful machine 😍,5,1.0,0.925,Positive
99,Ugy4m75YowIQUeGXdaZ4AaABAg,But you just know that some clown will ram it with a shopping trolley in the Tescos car park right?,But you just know that some clown will ram it with a shopping trolley in the Tescos car park right,3,0.5357142857142857,0.2857142857142857,Positive
100,Ugy4m75YowIQUeGXdaZ4AaABAg.9TVyGfsUYMd9VDIabqGZDn,@MagBus You're right... they'd probably go to Aldi.  Many billionaires become billionaires by being very careful how they spend their money 😀, Youre right theyd probably go to Aldi  Many billionaires become billionaires by being very careful how they spend their money 😀,1,0.6785714285714285,0.21857142857142856,Positive
101,Ugy4m75YowIQUeGXdaZ4AaABAg.9TVyGfsUYMd9VCX2K9c--x,Imagine a billionaire go to Tesco 🤣,Imagine a billionaire go to Tesco 🤣,5,0.0,0.0,Neutral
102,Ugy4m75YowIQUeGXdaZ4AaABAg.9TVyGfsUYMd9Ui82WFytxs,i think with a $2m car - you probably shop at waitrose ;),i think with a 2m car  you probably shop at waitrose ,3,0.0,0.0,Neutral
