,id,content
33,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cNg89YusW8,"@Dodoking86  i mean if your phone is out of charge and you're in the middle of nowhere, then does 1500 hp help?"
34,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cNIsA76vri,"@Surf alcatraz it only doesn't have a screen, you can still connect your phone to it. You also don't need a screen in a Bugatti given that as a Bugatti owner you could probably afford a standalone GPS system"
35,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cNBeq1lSiw,@Surf alcatraz Does a 1500hp+ car need infotainment?
36,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cMdrtdfXnq,"@[ E L I ] ye😂

Fair to say, she thirsty"
37,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cLaVcXEvF-,"@Surf alcatraz does your cupra have history. Legacy. 
 No."
38,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cLY3avP0-4,It’s a safety feature.
39,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cKOzE17igV,@[ E L I ] 😁😁😁
40,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cKA71AbQ6k,"but tbh looking at the stark blue paint + that silver wheel, made it looked like sort of a lawnmower/tractor to me"
41,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cK8YKoLyjz,@PB&J Racing • 14 years ago  But they're helpful. And if you're gonna argue cars look uglier with infotainment systems then why not look at the skyline gtr? it had an infotainment system and its one of the most timeless and beautiful cars ever.
42,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cK3tMVwB2s,White was better but this color fits the legacy more
43,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cK-1YC2GuA,@JUL'MDAMA'S LEFT TOE well this will be track god but the veyron and chiron aren’t really for tracking unless it’s a dragstrip
44,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cJxeUTUDPv,That's Y Bluetooth Speaker were Invented!
45,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cIwAxB1M3l,I know right
46,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cIteddDByu,Agreed
47,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cInyMJEthS,"@iiBADkARMAii quad turbo W16?!, damn the gas tank is a black hole"
48,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cIZVuNYp6V,Oh heyo! Didn't expect to bump into you here!
49,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cIRNJYRWGN,"A little bit to cheap for me, but the spec is really nice and better as the white one ❕👌🏼😅"
50,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cIGpA1BT-B,@Surf alcatraz does your Cupra Leon have a Quad Turbo W16?
51,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cIAOP6L1xF,@Surf alcatraz infotainment systems are ugly as sin
52,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cIAGVqvwIr,"Bet his cupra has a better mpg and is more economical. And it does 0 to 60 in 3.5s, more than enough."
53,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cHxftfI7h1,Bugatti is playing the long game
54,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cHhwIP2hxA,@Surf alcatraz asked?
55,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cHdMkL5uvg,Agreed
56,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cHYQvsW4ur,"@No Name  Yes, infact in 4.7s when it was stock. now its above 3.5s"
57,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cH2C6hSSP8,@Surf alcatraz does your cupra do 0-60 at all?
58,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cGsBqwLVeC,My saturn got better gas mileage.
59,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cGpk52ziZH,"@Surf alcatraz your Seat Leon will look dated in 5 years, if it hasn't dated already.
This won't."
60,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cG9A1UaVHm,@Surf alcatraz that is because they want the interior to be timeless. imagene how ugly a screen will look in 100 years
61,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cG2UoCC1eo,"@Surf alcatraz You dont buy a bugatti to GPS your way through london listening to spotify? You buy it either as a collector item, Flex item, Or track god."
62,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cG2EPQw5JR,"This ain't a sh*t box like your seat Leon, and this does have a infotainment system, the exhaust notes alone are enough to listen to all day long"
63,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cG0KZ7vfdj,@Surf alcatraz is ur cupra limited production?
64,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cFzUBje76D,Your cupra in a year will lose its value price down to 20% and the interior plus the roof will age in 2-3 years😅
65,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cFwXqEIpBI,@Surf alcatraz does your cupra Leon have an interior that won't age for at least 10 (or even 20) years?
66,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cFushEe6ob,@Surf alcatraz Does your Cupra leon have over 1500hp?
67,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cFuXpT5dgu,its an 8 million dollar car and it doesn't have an infotainment system. My cupra leon has it
68,UgxNwRSzjSOjz2Bfcep4AaABAg,"From an engineering and artistic point of view, this is a masterpiece! I wish that the ""lucky"" one that owns this will drive it (as much as possible) so that everyone can at least look at this and not ""store it"" in a fancy garage just for the sole purpose of selling it years later for a profit."
69,UgxNwRSzjSOjz2Bfcep4AaABAg.9cVOwEUj_hb9cX4CxeLuFc,Probz end up in the Crown princes garage
70,UgxNwRSzjSOjz2Bfcep4AaABAg.9cVOwEUj_hb9cWvcThEt4P,I’ve never understood that. We’re all gonna die sooner or later. I don’t get how people can just let their cars sit like that. What’s the point of making money off of it later when you’re gonna get old and die anyways? Why not enjoy it?
71,UgxNwRSzjSOjz2Bfcep4AaABAg.9cVOwEUj_hb9cWpt20U9H7,"@Richard the Lion Heart well, mentioning Mona Lisa kind of proves my point. Imagine if that was always in “closed circuit” (not displayed in public), would we ever know/talk about it? Anyway, I get your point also, it’s expensive, risks etc etc, but I also think  that who can afford to buy might not be stressed on things like these 😀"
72,UgxNwRSzjSOjz2Bfcep4AaABAg.9cVOwEUj_hb9cWVvmlifxa,Ha ha Ha. Would you drive the Mona Lisa ???
73,UgxNwRSzjSOjz2Bfcep4AaABAg.9cVOwEUj_hb9cWSoECWoxW,These are type of cars you ride until the wheels fall off !!! Obviously with respect the car is an absolute masterpiece of machinery I hope to see it on the road one day !!
74,UgxNwRSzjSOjz2Bfcep4AaABAg.9cVOwEUj_hb9cWFrItJ_Vc,But you know very well this is exactly what they are going to do
75,UgypNSeeo65YPy2i71p4AaABAg,"As gorgeous as that Centodieci is, that EB110 is just absolutely stunning, what a masterpiece"
76,UgzM7DHXi1I39YpcmrZ4AaABAg,I can't even imagine being at a point of wealth and prestige to be able to own that car. Mind blowing
77,UgzM7DHXi1I39YpcmrZ4AaABAg.9cTUosn50BG9cU0VIQlii3,@VK but this is a call back to the eb110 which is what shaped modern Bugatti
78,UgzM7DHXi1I39YpcmrZ4AaABAg.9cTUosn50BG9cTkUBztud1,Chiron looks better anyway.
79,UgwdCRYxkemVfNJk7il4AaABAg,"Absolutely gorgeous, the team outdid themselves! 🤟🏼🔥"
80,UgzwNJDFRxZGGmaZtIZ4AaABAg,"Imagine Ettore Buggatti being alive, and to see his company's legacy still being as prestiene as it used to be. How proud he'd really be...."
81,UgzwNJDFRxZGGmaZtIZ4AaABAg.9cFRx4nhsyB9cX1kn7r4Sg,Why is bg music name?!
82,UgzwNJDFRxZGGmaZtIZ4AaABAg.9cFRx4nhsyB9cWXGqqzrLX,Pointless development
83,UgzwNJDFRxZGGmaZtIZ4AaABAg.9cFRx4nhsyB9cWJmZbfaKL,For his name to be pasted on a VW product?
84,UgzwNJDFRxZGGmaZtIZ4AaABAg.9cFRx4nhsyB9cW27OjVjig,"@JUICY__ PLANE It's what the internet is for, right? /s"
85,UgzwNJDFRxZGGmaZtIZ4AaABAg.9cFRx4nhsyB9cVg0Stsrz4,Same with steve jobs with his apple
86,UgzwNJDFRxZGGmaZtIZ4AaABAg.9cFRx4nhsyB9cVg-M38zTU,I'm sure of it he would not like it
87,UgzwNJDFRxZGGmaZtIZ4AaABAg.9cFRx4nhsyB9cVRHL_jUzD,Thanks to VW
88,UgzwNJDFRxZGGmaZtIZ4AaABAg.9cFRx4nhsyB9cVR4hMHAEl,@Jackal of Hadouken! soy
89,UgzwNJDFRxZGGmaZtIZ4AaABAg.9cFRx4nhsyB9cVQylUGANk,Thanks to VW
90,UgzwNJDFRxZGGmaZtIZ4AaABAg.9cFRx4nhsyB9cVPI0CTMdb,Ettore would ask for a cheque.
91,UgzwNJDFRxZGGmaZtIZ4AaABAg.9cFRx4nhsyB9cVG7wnR9dY,well i dont he might be happy about the company loses millions per car
92,UgzwNJDFRxZGGmaZtIZ4AaABAg.9cFRx4nhsyB9cVFI66jNSu,"@Obama Lore Not really, the modern company can be traced more directly to the VW Company that formed after WW2 with the consent of the British occupation forces. 

They began work in a former factory that was used by the Nazis, yes, but the company itself was essentially brand new. The name, despite what people think, isn't a reflection of Nazism either. Hitler named the car ""KDF-Wagen"" or ""Strenght Through Joy Car"". The VW factory, wanting to distance itself from the Nazis (at this point under control of the British occupation forces) renamed the factory to ""Volks Wagen"" and began production of the formerly prototype KDF Wagen, which would become known as the VW Type 1, or Beetle."
93,UgzwNJDFRxZGGmaZtIZ4AaABAg.9cFRx4nhsyB9cUasM7eigY,You're words get mr goosebumps bro
94,UgzwNJDFRxZGGmaZtIZ4AaABAg.9cFRx4nhsyB9cUY5GGAnKB,"He would be fucking disappointed.
Bugatti used to won races, be the best at competitions. Now the cars barely drive if they even leave their garage.
He would be sincerely ashamed"
95,UgzwNJDFRxZGGmaZtIZ4AaABAg.9cFRx4nhsyB9cUSkIJMcr0,Yeah he will
96,UgzwNJDFRxZGGmaZtIZ4AaABAg.9cFRx4nhsyB9cU1wtijyKC,Doesn't matter i can't afford it..
97,UgzwNJDFRxZGGmaZtIZ4AaABAg.9cFRx4nhsyB9cTgIMnn95i,@Jackal of Hadouken! and a majority of weapons designed after 1945 were heavily influenced by Nazi weapons. Do something about it
98,UgzwNJDFRxZGGmaZtIZ4AaABAg.9cFRx4nhsyB9cTWZLnRGRE,especially bugatti being a german car now
99,UgzwNJDFRxZGGmaZtIZ4AaABAg.9cFRx4nhsyB9cTWEDlUZXC,He never heard of Volkswagen…..
100,UgzwNJDFRxZGGmaZtIZ4AaABAg.9cFRx4nhsyB9cTQ1C-kbvj,'Prestiene'? What DO you think that means?
101,UgzwNJDFRxZGGmaZtIZ4AaABAg.9cFRx4nhsyB9cTMxOvhPFR,He would have been horrified by the thought of Germans owning his company
102,UgzwNJDFRxZGGmaZtIZ4AaABAg.9cFRx4nhsyB9cTGRwg9dgd,"☁️       ☁️            ☁️         🌚
                 ☁️                         
          ☁️                🚀        ☁️       
    ☁️       ☁️       *        ☁️
       ☁️            *      ☁️        ☁️
                    *             
                *
            *
       💥
TO THE MOON"
103,UgzwNJDFRxZGGmaZtIZ4AaABAg.9cFRx4nhsyB9cSx7zQta7N,Is it thought?
104,UgzwNJDFRxZGGmaZtIZ4AaABAg.9cFRx4nhsyB9cSgGaaSo4e,Bugatti*
105,UgzwNJDFRxZGGmaZtIZ4AaABAg.9cFRx4nhsyB9cSa26sLnvo,"Well, koenigsegg and rimac founder is still alive.."
106,UgzwNJDFRxZGGmaZtIZ4AaABAg.9cFRx4nhsyB9cSKgsjjjTD,Can’t beat a golf
107,UgzwNJDFRxZGGmaZtIZ4AaABAg.9cFRx4nhsyB9cSJFHkX1xT,Gc
108,UgzwNJDFRxZGGmaZtIZ4AaABAg.9cFRx4nhsyB9cSFKH9fJRo,@Autoposer possibly but innovation is the engineers dream and all honesty with the fuels there’s only so fair with the ethanol content you can lean out
109,UgzwNJDFRxZGGmaZtIZ4AaABAg.9cFRx4nhsyB9cRqfysSKR2,"You guys are clueless. Bugatti loses money every year. Bugatti was owned by the Volkswagen Group. Now Rimac bought them and they are majority shareholder at 55%. 
They are only kept around because a few very rich people like their cars."
110,UgzwNJDFRxZGGmaZtIZ4AaABAg.9cFRx4nhsyB9cRVH5A-awE,"@Autoposer nah he'd just be confused
And then under stand about the crisis in the world"
111,UgzwNJDFRxZGGmaZtIZ4AaABAg.9cFRx4nhsyB9cQs8tUgmaE,Really?.... Bugatti would question this new company design ideas.
112,UgzwNJDFRxZGGmaZtIZ4AaABAg.9cFRx4nhsyB9cQZNngROSP,Very fucking proud
113,UgzwNJDFRxZGGmaZtIZ4AaABAg.9cFRx4nhsyB9cQP7cPq9vt,:)
114,UgzwNJDFRxZGGmaZtIZ4AaABAg.9cFRx4nhsyB9cQNH4wtOz2,Thanks to Volkswagen tho
115,UgzwNJDFRxZGGmaZtIZ4AaABAg.9cFRx4nhsyB9cQ9SWj9yGC,"@Jackal of Hadouken! Yeah he will still be proud, why wouldn't he? It's been 75 years dude, let it go"
116,UgzwNJDFRxZGGmaZtIZ4AaABAg.9cFRx4nhsyB9cQ4royyJI4,@Jackal of Hadouken!  Lol.  The allies restarted VW after WWII and gave it back to German control in 1950.  You just want something to complain about… presumably your too simple to find a hobby other than being annoying on social media.
117,UgzwNJDFRxZGGmaZtIZ4AaABAg.9cFRx4nhsyB9cQ3EABNfgM,"He’d be disappointed as fuck knowing french now own bugatti
Italians and French have beef like a mf"
118,UgzwNJDFRxZGGmaZtIZ4AaABAg.9cFRx4nhsyB9cPpnEMMlCG,Bugatti*
119,UgzwNJDFRxZGGmaZtIZ4AaABAg.9cFRx4nhsyB9cPbWXar-Ss,Ettore wouldnt be happy to see the brand being owned by VW
120,UgzwNJDFRxZGGmaZtIZ4AaABAg.9cFRx4nhsyB9cP_UO_3m5k,He would be disappointed. Koenigsegg is killing it
121,UgzwNJDFRxZGGmaZtIZ4AaABAg.9cFRx4nhsyB9cPUZ-o_apF,Ummm so the car is blue inside and outside 🤔🤔🤔
122,UgzwNJDFRxZGGmaZtIZ4AaABAg.9cFRx4nhsyB9cPCxIh_zfX,amen bro
123,UgzwNJDFRxZGGmaZtIZ4AaABAg.9cFRx4nhsyB9cOtLrNnyxt,This makes feel bad for Enzo Ferrari. He would be furious knowing what his car industry is more about making cars to rich folks to show off. Ferrari was never about that. Ferrari is supposed to be a racing company making race cars for any motor sport and the only reason why Enzo Ferrari made street cars was because of regulations motor sports having a street cars out of the race cars. What's worst now is that you can't even have full ownership of any new Ferrari and you cannot put any performance modifications or else you can get a lawsuit or get your car taken smh.
124,UgzwNJDFRxZGGmaZtIZ4AaABAg.9cFRx4nhsyB9cOejf7v98y,He'd first have to dig himself out of his casket.
125,UgzwNJDFRxZGGmaZtIZ4AaABAg.9cFRx4nhsyB9cOYRyObsiT,Its Sad that bugatti became french since it was italian
126,UgzwNJDFRxZGGmaZtIZ4AaABAg.9cFRx4nhsyB9cORqrosQNW,Honda neva giva fucc
127,UgzwNJDFRxZGGmaZtIZ4AaABAg.9cFRx4nhsyB9cOIxeUNTHk,He as a Italian who founded the company in Germany would be very proud to see his company celebrate being frech
128,UgzwNJDFRxZGGmaZtIZ4AaABAg.9cFRx4nhsyB9cOGUNTrQ9T,But where are the several meter long luxury rides
129,UgzwNJDFRxZGGmaZtIZ4AaABAg.9cFRx4nhsyB9cO8C99bf_5,"@Abe Lincoln It's Porsche SE realy, and owns Lamborghini, Audi, Porsche, Bentley, plus Seat, Skoda and VW."
130,UgzwNJDFRxZGGmaZtIZ4AaABAg.9cFRx4nhsyB9cO6M6USl2N,Imagine Henry Ford still being alive to see his company employ Jews and black people. How disgusted he’d really be…… (Henry Ford really sucked if you didn’t know)
131,UgzwNJDFRxZGGmaZtIZ4AaABAg.9cFRx4nhsyB9cNnWTcG9c4,He would probably die again because of a heart attack after seeing the price tag they are selling their customers for.
132,UgzwNJDFRxZGGmaZtIZ4AaABAg.9cFRx4nhsyB9cNmhfGuYfw,Pristine
133,UgzwNJDFRxZGGmaZtIZ4AaABAg.9cFRx4nhsyB9cNRT1SBMux,He would’ve shat his pants
134,UgzwNJDFRxZGGmaZtIZ4AaABAg.9cFRx4nhsyB9cN0frqAOUw,"@Ryan Braganza Ettore Bugatti started doing cars in italy, with italian inverstors then noticed and hired by a german company that offer him a job as engeneer. He built a company in france and after the war he lost it for not being a french. In facts france stole his company. that's why now Bugatti seems to he french but without his italian ""father"" bugatti was nothing. It's like calling Lamborghini a german car company.. in this way you destroy the brand history. Even if Lamborghini Is made with german engeneer. IMHO: preserve the history or get rid of the name. Otherwise you are using a badge with credits came from others, not yours. Today the company is German if not italian, france gave nothing to make bugatti great."
135,UgzwNJDFRxZGGmaZtIZ4AaABAg.9cFRx4nhsyB9cMxEg2rLsK,Forget that! Imagine owning a Bugatti to begin with
136,UgzwNJDFRxZGGmaZtIZ4AaABAg.9cFRx4nhsyB9cMl4B6g1I5,@Jackal of Hadouken! Oh Lord truth bomb royale
137,UgzwNJDFRxZGGmaZtIZ4AaABAg.9cFRx4nhsyB9cMgbUkikCJ,"We pick lessons from this for sure.
Let's also start our own brands,who knows, the legacy will live beyond what any man ever imagined"
138,UgzwNJDFRxZGGmaZtIZ4AaABAg.9cFRx4nhsyB9cMftDVv5Tl,He would think they all look the same 🤦‍♂️🥴
139,UgzwNJDFRxZGGmaZtIZ4AaABAg.9cFRx4nhsyB9cMeZTfB3zP,@muhammad naveed woo wooo relax dude relax.
140,UgzwNJDFRxZGGmaZtIZ4AaABAg.9cFRx4nhsyB9cMVXUDMq3m,But imagine if he was like *What The Fuck You Guys You Ruined My Cars!*
141,UgzwNJDFRxZGGmaZtIZ4AaABAg.9cFRx4nhsyB9cMU3NtlWng,He can see his legacy even if he died
142,UgzwNJDFRxZGGmaZtIZ4AaABAg.9cFRx4nhsyB9cMPBzwdutx,I know he's looking down from heaven smiling at how far his company has come. R.I.P Ettore. ✝️🙏✝️
143,UgzwNJDFRxZGGmaZtIZ4AaABAg.9cFRx4nhsyB9cLvvkTc7Xo,"It’s always ironic when people post pissy comments about brands and their history while simultaneously using a device that was likely assembled by child slaves. If you dwell on most any topic or object in life, there will be some sort of negative point during it’s history that you can whine about and voice synthetic moral outrage."
144,UgzwNJDFRxZGGmaZtIZ4AaABAg.9cFRx4nhsyB9cLrw5NvwTI,"I agree, why would the founder of a historic legendary mark be happy to see that it's now owned and operated by the VW group. The flip side without VW, no modern Bugatti."
145,UgzwNJDFRxZGGmaZtIZ4AaABAg.9cFRx4nhsyB9cLXivfYKjA,He'd throw up seeing the new designs
146,UgzwNJDFRxZGGmaZtIZ4AaABAg.9cFRx4nhsyB9cLRGky9Qyt,@muhammad naveed quantum physics and relativity says otherwise
147,UgzwNJDFRxZGGmaZtIZ4AaABAg.9cFRx4nhsyB9cLOxsVIzKs,"I think that the poor ettore dont like cars anymore.  He lost his son on the aerolite ""Atlantic"" Raph Lauren s car"
148,UgzwNJDFRxZGGmaZtIZ4AaABAg.9cFRx4nhsyB9cLDGp74AmC,@Jackal of Hadouken! That's just a good thing lol
149,UgzwNJDFRxZGGmaZtIZ4AaABAg.9cFRx4nhsyB9cL7i3mEV9j,I can only imagine the torque spec of those wheels
150,UgzwNJDFRxZGGmaZtIZ4AaABAg.9cFRx4nhsyB9cL5OdiXOP0,Bugatti*
151,UgzwNJDFRxZGGmaZtIZ4AaABAg.9cFRx4nhsyB9cL58qgYin0,He may be not alive but his name and legacy will never die .
152,UgzwNJDFRxZGGmaZtIZ4AaABAg.9cFRx4nhsyB9cL3dxdw_rw,guy had a stroke spelling pristine lmfao
153,UgzwNJDFRxZGGmaZtIZ4AaABAg.9cFRx4nhsyB9cL2KYPrOnq,I rather have a s13 and use the car instead of just having some useless car to shoot glamour shots of
154,UgzwNJDFRxZGGmaZtIZ4AaABAg.9cFRx4nhsyB9cL-BbY5E5N,"Yeah I'm sure he'd love and be so proud that his company went under and then was sold off, or bought out by Volkswagen Auto Group. 🤣😂"
155,UgzwNJDFRxZGGmaZtIZ4AaABAg.9cFRx4nhsyB9cKzTzY6AS4,So true
156,UgzwNJDFRxZGGmaZtIZ4AaABAg.9cFRx4nhsyB9cKs8LgI2Ow,"@Anatol Junior Under the deal announced on Monday, Bugatti will be transferred to a new joint venture 55% owned by Rimac and the remaining 45% owned by Porsche—the VW Group unit currently responsible for Bugatti and owner of a 24% stake in Rimac. Jul 6, 2021 so its old news."
157,UgzwNJDFRxZGGmaZtIZ4AaABAg.9cFRx4nhsyB9cKoOG2xR5o,@Igez yeahh i know but Ettore Bugatti was an Italian that's what I meant
158,UgzwNJDFRxZGGmaZtIZ4AaABAg.9cFRx4nhsyB9cKnShdKqx6,"@Ryan Braganza Bugatti is not considered French, is French."
159,UgzwNJDFRxZGGmaZtIZ4AaABAg.9cFRx4nhsyB9cKnMiVs8ji,He would be devastated that his company was sold to Volkswagen
160,UgzwNJDFRxZGGmaZtIZ4AaABAg.9cFRx4nhsyB9cKRhE_SyF9,He’s looking down tho
161,UgzwNJDFRxZGGmaZtIZ4AaABAg.9cFRx4nhsyB9cKJm9hkoA0,It's so weird that Ettore Bugatti was Italian but the company is considered french
162,UgzwNJDFRxZGGmaZtIZ4AaABAg.9cFRx4nhsyB9cKFuNmgejC,@Jackal of Hadouken! Hitler's been dead for decades what are you on about
163,UgzwNJDFRxZGGmaZtIZ4AaABAg.9cFRx4nhsyB9cJpGzPOQA9,Exactly
