,id,content,content_clean,sentiment
48,UgyJAINmIh1_cyOB13R4AaABAg.9LJTJVGxiIZ9PUO9zJr2b5,"@Dennis Micheals I agree. The supra is only a sports car, designed for driving experience and with good performance compared to an average family car. Not like a super high performing super car designed for speed and luxury.", Micheals I agree The supra is only a sports car designed for driving experience and with good performance compared to an average family car Not like a super high performing super car designed for speed and luxury,3
49,UgyJAINmIh1_cyOB13R4AaABAg.9LJTJVGxiIZ9PUK9LtQRSg,@Timmy Hers I don't know about that but I wouldn't risk my life crashing going fast on an older car these Bugattis are built for speed you could hit almost 300mph and barely feel it unlike the supra, Hers I dont know about that but I wouldnt risk my life crashing going fast on an older car these Bugattis are built for speed you could hit almost 300mph and barely feel it unlike the supra,3
50,UgyJAINmIh1_cyOB13R4AaABAg.9LJTJVGxiIZ9PUJIZrEUT_,"@Dennis Micheals I agree, but my point is that to get high speeds you need a lot of mods and tune ups to get that stock supra to have a comparable top speed to that of a high end super car.", Micheals I agree but my point is that to get high speeds you need a lot of mods and tune ups to get that stock supra to have a comparable top speed to that of a high end super car,3
51,UgyJAINmIh1_cyOB13R4AaABAg.9LJTJVGxiIZ9PUHtcVhCRF,"@Timmy Hers I'm talking about top speed here not power , the Supras are slow stock unless heavily tuned but the Bugattis are build for top speed on a long straight the supra would get smocked", Hers Im talking about top speed here not power  the Supras are slow stock unless heavily tuned but the Bugattis are build for top speed on a long straight the supra would get smocked,2
52,UgyJAINmIh1_cyOB13R4AaABAg.9LJTJVGxiIZ9PUH75VX7tu,"@Dennis Micheals when you fully tune it with a lot of horsepower and upgrade the wheels, transmission, suspension, add aero kits to help with grip and downforce at high speed, built the engine to handle the huge power, etc. It supra can go really fast but you do need to upgrade and tune it heavily and finely.", Micheals when you fully tune it with a lot of horsepower and upgrade the wheels transmission suspension add aero kits to help with grip and downforce at high speed built the engine to handle the huge power etc It supra can go really fast but you do need to upgrade and tune it heavily and finely,4
53,UgyJAINmIh1_cyOB13R4AaABAg.9LJTJVGxiIZ9PSBNWR_oWS,@BARK Supras can't go 260mph thou lol, Supras cant go 260mph thou lol,1
54,UgyJAINmIh1_cyOB13R4AaABAg.9LJTJVGxiIZ9PAEbsmsnu8,"@BARK 
Supra: wayyy slower"," 
Supra wayyy slower",3
55,UgyJAINmIh1_cyOB13R4AaABAg.9LJTJVGxiIZ9OjUgp93VHq,@BARK 🗿, 🗿,5
56,UgyJAINmIh1_cyOB13R4AaABAg.9LJTJVGxiIZ9OfLzFmhyYa,@Liam Weaver dead meme, Weaver dead meme,1
57,UgyJAINmIh1_cyOB13R4AaABAg.9LJTJVGxiIZ9OQFBOoSrZ_,@BARK IS THAT A SUPRA?!, IS THAT A SUPRA,3
58,UgyJAINmIh1_cyOB13R4AaABAg.9LJTJVGxiIZ9OKx4l52aok,"Bugatti Veyron: Fast

Koenigsegg: Fastr

Supra: *cough cough*","Bugatti Veyron Fast

Koenigsegg Fastr

Supra cough cough",3
59,Ugyie5T7F-V6aqU-RcB4AaABAg,"I drove the Agera RS and got it to 285mph....


Then I turned off my Xbox cuz I had to go to sleep.","I drove the Agera RS and got it to 285mph


Then I turned off my Xbox cuz I had to go to sleep",1
60,Ugyie5T7F-V6aqU-RcB4AaABAg.8y1CGs2gfsc9ZSQlZZ3QjA,"@Sunny Jim so you wanna be a playa but your wheels anit fly you gotta hit us up to get a pimped out ride , pimp my ride", Jim so you wanna be a playa but your wheels anit fly you gotta hit us up to get a pimped out ride  pimp my ride,3
61,Ugyie5T7F-V6aqU-RcB4AaABAg.8y1CGs2gfsc9Yj8yU_P_Fl,"Königsegg have faster cars but the Agera RS is still the fastest car in the world.

That's a tiny little company in Ängelholm doing something that used to be reserved for the likes of Porsche and Ferrari. I kinda love that this crazy Swede did that and that's not to mention all the innovations, like freevalve and lightweight, high power electric engines. First to one:one as well. Königsegg is amazing.","Königsegg have faster cars but the Agera RS is still the fastest car in the world

Thats a tiny little company in Ängelholm doing something that used to be reserved for the likes of Porsche and Ferrari I kinda love that this crazy Swede did that and thats not to mention all the innovations like freevalve and lightweight high power electric engines First to oneone as well Königsegg is amazing",5
62,Ugyie5T7F-V6aqU-RcB4AaABAg.8y1CGs2gfsc9Y7ZQB65aeT,Lol,Lol,3
63,Ugyie5T7F-V6aqU-RcB4AaABAg.8y1CGs2gfsc9WZp-vmwBlb,@Sunny Jim holy shit koenigsegg collaborated with xbox1?1?1?1 insane, Jim holy shit koenigsegg collaborated with xbox1111 insane,1
64,Ugyie5T7F-V6aqU-RcB4AaABAg.8y1CGs2gfsc9UnClCPjF_K,I drove my Koenigsegg Jesko and got it to 455.48 mph... God I love speed glitches,I drove my Koenigsegg Jesko and got it to 45548 mph God I love speed glitches,5
65,Ugyie5T7F-V6aqU-RcB4AaABAg.8y1CGs2gfsc9UC2AGmqOW_,"I once drove my Austin
Allegro supercharged V12 at 390mph. I had to fit a spoiler and new tyres because in standard trim it only did 359 mph....","I once drove my Austin
Allegro supercharged V12 at 390mph I had to fit a spoiler and new tyres because in standard trim it only did 359 mph",4
66,Ugyie5T7F-V6aqU-RcB4AaABAg.8y1CGs2gfsc9R8uAob8K-U,Im a granturismo player and i went about 476 mph (767kmh) in thr srt tomahawk x,Im a granturismo player and i went about 476 mph 767kmh in thr srt tomahawk x,5
67,Ugyie5T7F-V6aqU-RcB4AaABAg.8y1CGs2gfsc9Q6vh2HnOWk,"I don't get it, cuz I really did drive an Agera before





But my mum tells me to stop so I turn off my PlayStation","I dont get it cuz I really did drive an Agera before





But my mum tells me to stop so I turn off my PlayStation",1
68,Ugyie5T7F-V6aqU-RcB4AaABAg.8y1CGs2gfsc9P5YDEFU0Qb,"Man, would love to feel that in real life, could be a good way to see heaven too.",Man would love to feel that in real life could be a good way to see heaven too,4
69,Ugyie5T7F-V6aqU-RcB4AaABAg.8y1CGs2gfsc9P-ubSfOvIT,🤣😂,🤣😂,5
70,Ugyie5T7F-V6aqU-RcB4AaABAg.8y1CGs2gfsc9OaOTOLSu7h,"he had us in the first half, ngl..",he had us in the first half ngl,3
71,Ugyie5T7F-V6aqU-RcB4AaABAg.8y1CGs2gfsc9NpAEfLrRAa,@Logan Williams yep but forza horizon not simulation ..., Williams yep but forza horizon not simulation ,2
72,Ugyie5T7F-V6aqU-RcB4AaABAg.8y1CGs2gfsc9NjRTzwM6YA,I drove a agera s  too in real life and I shit my myself,I drove a agera s  too in real life and I shit my myself,1
73,Ugyie5T7F-V6aqU-RcB4AaABAg.8y1CGs2gfsc9LVsfYsEDwu,@• does it go 304 or above or just 300,• does it go 304 or above or just 300,3
74,Ugyie5T7F-V6aqU-RcB4AaABAg.8y1CGs2gfsc9JWckvW-VAR,🔥🔥🔥🔥🤷🏾‍♂️🙃,🔥🔥🔥🔥🤷🏾‍♂️🙃,5
75,Ugyie5T7F-V6aqU-RcB4AaABAg.8y1CGs2gfsc9JOCy8eaTB7,Forza horizon 4 HMMMMMMMM,Forza horizon 4 HMMMMMMMM,5
76,Ugyie5T7F-V6aqU-RcB4AaABAg.8y1CGs2gfsc9JOCt7Q58Qg,No you didn’t go 285 mph,No you didn’t go 285 mph,1
77,Ugyie5T7F-V6aqU-RcB4AaABAg.8y1CGs2gfsc9IuOG__jonV,The SSC Tuatara hit 320MPH,The SSC Tuatara hit 320MPH,1
78,Ugyie5T7F-V6aqU-RcB4AaABAg.8y1CGs2gfsc9IuLkmHi8PK,Hahahah,Hahahah,1
79,Ugyie5T7F-V6aqU-RcB4AaABAg.8y1CGs2gfsc9Ii-JbueZhW,I got it to 272,I got it to 272,3
80,Ugyie5T7F-V6aqU-RcB4AaABAg.8y1CGs2gfsc9HXJo0ziMek,Fh4?,Fh4,5
81,Ugyie5T7F-V6aqU-RcB4AaABAg.8y1CGs2gfsc9GC_Glo1xaI,"Jimmy Broadbent, dat u?",Jimmy Broadbent dat u,5
82,Ugyie5T7F-V6aqU-RcB4AaABAg.8y1CGs2gfsc9FX6Df8oqvJ,Haha mint....,Haha mint,3
83,Ugyie5T7F-V6aqU-RcB4AaABAg.8y1CGs2gfsc9FAxA1KDJ6N,I drove an ssc to 330MPH in mario cart,I drove an ssc to 330MPH in mario cart,5
84,Ugyie5T7F-V6aqU-RcB4AaABAg.8y1CGs2gfsc9EiJiExLUV3,"What game? Because I'm able to get a 1990s Foxbody mustang uo to those speeds in Forza, I also have a veyron that can reach 300mph",What game Because Im able to get a 1990s Foxbody mustang uo to those speeds in Forza I also have a veyron that can reach 300mph,5
85,Ugyie5T7F-V6aqU-RcB4AaABAg.8y1CGs2gfsc9EQWzFkT6vz,The Bugatti chiron super sport got it to 304 MPH ....,The Bugatti chiron super sport got it to 304 MPH ,5
86,Ugyie5T7F-V6aqU-RcB4AaABAg.8y1CGs2gfsc9Dl5LmrztTc,😂 You got me on the first half alright,😂 You got me on the first half alright,3
87,Ugyie5T7F-V6aqU-RcB4AaABAg.8y1CGs2gfsc9CwpQX01Ll2,This comment made my day,This comment made my day,5
88,Ugyie5T7F-V6aqU-RcB4AaABAg.8y1CGs2gfsc9Byhh-ZiYaD,@Lmd s Domination Toyota's?, s Domination Toyotas,5
89,Ugyie5T7F-V6aqU-RcB4AaABAg.8y1CGs2gfsc9Be5lFudlt1,@Coolboy 2512 ok cool also i deleted horizon 4 because of all the toyotas, 2512 ok cool also i deleted horizon 4 because of all the toyotas,4
90,Ugyie5T7F-V6aqU-RcB4AaABAg.8y1CGs2gfsc9Bdw35mgsjg,@liam davaniah And i'm talking about forza horizon 4, davaniah And im talking about forza horizon 4,4
91,Ugyie5T7F-V6aqU-RcB4AaABAg.8y1CGs2gfsc9BdvDYifw8R,@Coolboy 2512 im talking about real life buggati chiron super sport hit 304 mph this year, 2512 im talking about real life buggati chiron super sport hit 304 mph this year,1
92,Ugyie5T7F-V6aqU-RcB4AaABAg.8y1CGs2gfsc9BdtrPb9VZy,I've been in the 599xx evolution and got to 322mph. I bet your record🤣🤣🤣,Ive been in the 599xx evolution and got to 322mph I bet your record🤣🤣🤣,3
93,Ugyie5T7F-V6aqU-RcB4AaABAg.8y1CGs2gfsc9BPnJZgkAka,Pfffffffff i watched the Bugatti chiron supersport go to 300 mph on YouTube 😜,Pfffffffff i watched the Bugatti chiron supersport go to 300 mph on YouTube 😜,5
94,Ugyie5T7F-V6aqU-RcB4AaABAg.8y1CGs2gfsc9APp7uWJ6UV,Sunny Jim  💀💀😂why ?,Sunny Jim  💀💀😂why ,4
95,Ugyie5T7F-V6aqU-RcB4AaABAg.8y1CGs2gfsc9AOMLXD4AN5,@AleK loved that game, loved that game,5
96,Ugyie5T7F-V6aqU-RcB4AaABAg.8y1CGs2gfsc9AOKIPao7nk,i remember being proud of myself as a 12 year old playing asphalt 4 on the ds getting the original veyron up to 300mph without boosting,i remember being proud of myself as a 12 year old playing asphalt 4 on the ds getting the original veyron up to 300mph without boosting,5
97,Ugyie5T7F-V6aqU-RcB4AaABAg.8y1CGs2gfsc9AJRAefZVwG,i made this 1.9 k likes. nice,i made this 19 k likes nice,5
98,Ugyie5T7F-V6aqU-RcB4AaABAg.8y1CGs2gfsc9AGKjJGcrYc,Savage!,Savage,5
99,Ugyie5T7F-V6aqU-RcB4AaABAg.8y1CGs2gfsc9A0o-F_i-pE,In forza horizon 4 I got a heavily tuned huracan and I went 259mph,In forza horizon 4 I got a heavily tuned huracan and I went 259mph,2
100,Ugyie5T7F-V6aqU-RcB4AaABAg.8y1CGs2gfsc99x8XLxJhdF,When you have an XXX Saleen F1 in Forza H4 going throught the straits,When you have an XXX Saleen F1 in Forza H4 going throught the straits,5
101,Ugyie5T7F-V6aqU-RcB4AaABAg.8y1CGs2gfsc99gnyEpsFbz,Amateur. I was going 330 in my Ferrari,Amateur I was going 330 in my Ferrari,3
102,Ugyie5T7F-V6aqU-RcB4AaABAg.8y1CGs2gfsc98nsPz2sCAw,@Logan Williams  in Forza horizon 4 I bet Dj lime hit 323 mph, Williams  in Forza horizon 4 I bet Dj lime hit 323 mph,5
103,Ugyie5T7F-V6aqU-RcB4AaABAg.8y1CGs2gfsc98gGtH88k6n,Jesko,Jesko,4
104,Ugyie5T7F-V6aqU-RcB4AaABAg.8y1CGs2gfsc98YwQ1G_D30,Ferrari 599XE 320MPH down the motorway in scotland.,Ferrari 599XE 320MPH down the motorway in scotland,5
105,Ugyie5T7F-V6aqU-RcB4AaABAg.8y1CGs2gfsc97xH6kUZSk6,3:11 what does it say in english?,311 what does it say in english,5
106,Ugyie5T7F-V6aqU-RcB4AaABAg.8y1CGs2gfsc9-OyxXMWf1i,Forza Horizon 4 HMMMMMM?,Forza Horizon 4 HMMMMMM,5
107,Ugyie5T7F-V6aqU-RcB4AaABAg.8y1CGs2gfsc8zTrrJ1t3M7,Firemarioflower thx man😂,Firemarioflower thx man😂,5
108,Ugyie5T7F-V6aqU-RcB4AaABAg.8y1CGs2gfsc8zQH6-O5xMF,@Sunny Jim 😆 Nice one, Jim 😆 Nice one,5
109,Ugyie5T7F-V6aqU-RcB4AaABAg.8y1CGs2gfsc8zO7U-Y9Ayi,@Sunny Jim hahahahahaaha., Jim hahahahahaaha,3
110,Ugyie5T7F-V6aqU-RcB4AaABAg.8y1CGs2gfsc8zGgLH3y0il,Yeh sounds like something I would do 😂😂,Yeh sounds like something I would do 😂😂,3
111,Ugyie5T7F-V6aqU-RcB4AaABAg.8y1CGs2gfsc8yKh-MgTiyV,Woah it has a built in Xbox and bed!?,Woah it has a built in Xbox and bed,2
112,UgwzHCvQMaglNSy6gjN4AaABAg,I love how Richard and Jeremy always freak out when a car is going real fast but James isn't even screaming,I love how Richard and Jeremy always freak out when a car is going real fast but James isnt even screaming,5
113,UgwzHCvQMaglNSy6gjN4AaABAg.9IFhERJaVxQ9ZTauFkjO4y,"To be fair, Bugattis are freakishly stable at such high speeds.",To be fair Bugattis are freakishly stable at such high speeds,4
114,UgwzHCvQMaglNSy6gjN4AaABAg.9IFhERJaVxQ9UZOMWLtnVt,He is called captain slow because everything is slow to him,He is called captain slow because everything is slow to him,1
115,UgwzHCvQMaglNSy6gjN4AaABAg.9IFhERJaVxQ9OWejHXEC8T,"Because the road is straight and he don't have to put too much effort into it. Try going half that speed on your average road, you will be freaking out too.",Because the road is straight and he dont have to put too much effort into it Try going half that speed on your average road you will be freaking out too,2
116,UgzOlgRQlME7XmdXKrV4AaABAg,Imagine going 350 km/h and your car is shifting a gear up.,Imagine going 350 kmh and your car is shifting a gear up,1
117,UgzOlgRQlME7XmdXKrV4AaABAg.9BSrxNWbLQb9XgPCpHJgk6,"@SeeYallProVaxxersInTheWinterLMFAOO An autobox simply wouldn't allow it. You couldn't produce enough rpm to shift manually into 1st which means you'll blow up your transmission and engine instantly, and probably catapult the car a bit given the speed", An autobox simply wouldnt allow it You couldnt produce enough rpm to shift manually into 1st which means youll blow up your transmission and engine instantly and probably catapult the car a bit given the speed,2
118,UgzOlgRQlME7XmdXKrV4AaABAg.9BSrxNWbLQb9Wghrua-5H1,@glibg10b Koenigsegg regera references?, Koenigsegg regera references,3
119,UgzOlgRQlME7XmdXKrV4AaABAg.9BSrxNWbLQb9VQcV7eKATS,@glibg10b regera: hold my gearbox, regera hold my gearbox,5
120,UgzOlgRQlME7XmdXKrV4AaABAg.9BSrxNWbLQb9UuRk-zd3G0,"Chuck Norris can do 350mph...in a Fiesta, in reverse, at idle rev! :))))))))",Chuck Norris can do 350mphin a Fiesta in reverse at idle rev ,5
121,UgzOlgRQlME7XmdXKrV4AaABAg.9BSrxNWbLQb9U2IL_1M6PE,Lots of smart arses! Yeah that is insane. Hmmmm 350kph hmm revving a bit high. Better shift up 😂,Lots of smart arses Yeah that is insane Hmmmm 350kph hmm revving a bit high Better shift up 😂,2
122,UgzOlgRQlME7XmdXKrV4AaABAg.9BSrxNWbLQb9RjvOex64UC,@glibg10b Koenigsegg regera have only 1st and doing 400km/h :D, Koenigsegg regera have only 1st and doing 400kmh D,1
123,UgzOlgRQlME7XmdXKrV4AaABAg.9BSrxNWbLQb9Ra-Sy2n9-S,@SeeYallProVaxxersInTheWinterLMFAOO It would be like trying to see what a human heart would do at 1000 bpm., It would be like trying to see what a human heart would do at 1000 bpm,3
