,id,content
26,UgwRNv7VrMvVBanSiWl4AaABAg.9aLJ5C3QTOw9aNy9huuv-5,"Porsche is the best when you combine performance, reliability and build quality(never seen panel gaps on a Porsche). Even the insanely fast 911 Turbo S is comfortable enough to use as a daily driver!!"
27,UgwRNv7VrMvVBanSiWl4AaABAg.9aLJ5C3QTOw9aNPO8u_Z_O,@Michael Meredith yes! Should have mentioned it😉
28,UgwRNv7VrMvVBanSiWl4AaABAg.9aLJ5C3QTOw9aNOvWeNipC,The Shirley Bassey makes it as well 👍🏼
29,UgwRNv7VrMvVBanSiWl4AaABAg.9aLJ5C3QTOw9aM76lP-4X7,French music from Aznavour and shot from grande corniche above Monaco and cote d'Azur in France.
30,UgwRNv7VrMvVBanSiWl4AaABAg.9aLJ5C3QTOw9aLjCmbvRBB,"@sensualeye with what sounds like a classic James Bond-ish music... What a masterpiece.

If there's one thing that separate Porsche from other car brands, for me it's their effort and pride to preserve their heritage and legacy throughout the time."
31,UgwRNv7VrMvVBanSiWl4AaABAg.9aLJ5C3QTOw9aLQAmgYWPW,The film felt Italian yet the ad is for a German car. 🤔
32,Ugz32o7t6SnUWrGnD2F4AaABAg,"This is such an insane commercial, love the vibe, the emotional storyline and the beautiful cinematography. Porsche takes this to the next level!"
33,Ugz32o7t6SnUWrGnD2F4AaABAg.9aS4OgNYGkW9bzI_Q3a2M1,the cinematography is truly amazing. Such nice vibe.
34,Ugz32o7t6SnUWrGnD2F4AaABAg.9aS4OgNYGkW9b-ZhRlUeX5,🚕DEEPSQUAD🇯🇵
35,UgxnzT-_dhnJ2KwG7UJ4AaABAg,Kudos to the team that concept’d and executed this video. I showed it to my wife and it literally brought tears down here face. She totally got it: Future reflecting the past and them all finding their way back to each other through a passion… for Pcars!
36,Ugzchgfm5OgRP9sDpbB4AaABAg,I felt this on a deeper level than I was anticipating. Amazing job Porsche...
37,UgyzFp1QbTBVZdEfHjR4AaABAg,Its good to see Porsche embracing its history and the classic cars in their line up. So many car manufactureres commit the folly to just want to appear futuristic.
38,UgyzFp1QbTBVZdEfHjR4AaABAg.9aUrWv-XZDL9bn91OqP_L3,Are you talking about BMW ???!!???? ;)
39,UgxwkaNaO-mO-fOCNj14AaABAg,"Most people would have no idea of the amount of work involved in producing a piece like this. ""Well done"" to all involved."
40,UgxwkaNaO-mO-fOCNj14AaABAg.9aLHdpDLFSd9acWjauPuNX,Lower corniche to Monaco
41,UgxwkaNaO-mO-fOCNj14AaABAg.9aLHdpDLFSd9aXe1M7t1ZG,"They don't need to know anything about this, since they can't afford it."
42,UgxwkaNaO-mO-fOCNj14AaABAg.9aLHdpDLFSd9aVSFy7-Enr,I wish it was 90 minutes long
43,UgxwkaNaO-mO-fOCNj14AaABAg.9aLHdpDLFSd9aTZeeDcpM7,"You're claiming to know what most people know? Arrogant, aren't you?"
44,UgxwkaNaO-mO-fOCNj14AaABAg.9aLHdpDLFSd9aRboYUt2dM,i do :)
45,UgxwkaNaO-mO-fOCNj14AaABAg.9aLHdpDLFSd9aP6SUsVtY_,"Well 'Most People' won't be watching this promotional video which, although good, lacks originality."
46,UgxwkaNaO-mO-fOCNj14AaABAg.9aLHdpDLFSd9aOwQ5jPL_P,i would like mine medium rare plz
47,UgxwkaNaO-mO-fOCNj14AaABAg.9aLHdpDLFSd9aO_PJ_Kc42,A very rare example of balance between creativity and branding. Hats off to the creative team. Kudos to the Porsche marketing team too. Perfection attained!
48,UgxwkaNaO-mO-fOCNj14AaABAg.9aLHdpDLFSd9aOZXHreyTG,@Caio Daris Looked like the French Riviera to me
49,UgxwkaNaO-mO-fOCNj14AaABAg.9aLHdpDLFSd9aOQ-DzQ5gI,The locations are in Italy?
50,UgxwkaNaO-mO-fOCNj14AaABAg.9aLHdpDLFSd9aNUwz6EEWn,you are right because these cars are now all built by robots. I bet artificial intelligence can build the entire car (design wise) itself and they could lay the people off who make the new generations...save tons of dough pumped right back into its stock valuation...
51,UgxwkaNaO-mO-fOCNj14AaABAg.9aLHdpDLFSd9aNP0fwamvb,@ᚴᚢᚾᚴᚾᛁᚱ Óðinn  better than 250 like the last sport classic
52,UgxwkaNaO-mO-fOCNj14AaABAg.9aLHdpDLFSd9aNOTmVDKfX,Parts bin special. Artitfical scarcity. Impossible to buy for anyone that can't offer a bribe. Truly an art. Art of malversation's.
53,UgxwkaNaO-mO-fOCNj14AaABAg.9aLHdpDLFSd9aNDXTT2T0e,"of course, it will start at $270K so I’m sure money was spent to make the advertising but the car it self good luck finding one, 1270 only made…what a shame"
54,UgxwkaNaO-mO-fOCNj14AaABAg.9aLHdpDLFSd9aMySG37t7d,"I watched the movie ""click by click"" and it's insane  how much details you can see in it."
55,UgwLhZIYxcmiUDTdCE54AaABAg,"What .. a .. beautiful car. I just can't take my eyes of it. Those details in the interior. Simply wow. 

Sadly so far away from my reality."
56,UgyOc44Umq20fPOGnid4AaABAg,Maravilhosamente fantástico.
57,UgyeNfzXwC5me8H6He54AaABAg,This is why Porsche is my absolute favorite automobile company ❤️
58,Ugx1TdRdcrCulC-jlwV4AaABAg,"Watching this after watching the ""we are M"" commercial, I can just say that I feel relieved. There are still people out there who treasure car legacy and know how to pay tribute to it. Thank you Porsche, keep it up!"
59,Ugx6bgeRQkU1B1juDEN4AaABAg,That’s a stunning looking car. I hope you’ll sell them to enthusiasts who will drive them.
60,Ugx6bgeRQkU1B1juDEN4AaABAg.9aLIbULYbI79bJ7N3W75e1,"@Pineapple Tacos I have asked for all generations for 12 years, to be clear, I own one 911 (the same one for 17 years serviced at Bain dealer) and other nice sports cars, I am not desperate to get a GT3, I would really just love to get one, so much so that it would be the first new car I ever buy. And it seems that I am not worthy. As a matter of principle, I won't buy a second hand car at RRP or a premium to RRP if I tried/asked to buy it new. At this point of time, I will probably buy anything but a 911 GT3 because I am fed up and will buy a car because I will moving to another country. So I am looking at GT3 competitors which are cheaper (Exige etc.) or more expensive (Maclaren, Lamborghini etc.)."
61,Ugx6bgeRQkU1B1juDEN4AaABAg.9aLIbULYbI79bJ4Lxf6BW8,@Photoandcargeek You also didn’t specify that you were trying to spec/order one. You just said you’ve tried to BUY ONE only to be told no or supposedly that you’re not worthy. I’ve known numerous people who were told no at one dealership who’ve gone to another one who said yes. Waiting 12 years or more is just laughable to me.
62,Ugx6bgeRQkU1B1juDEN4AaABAg.9aLIbULYbI79bJ3ekioZwv,"@Photoandcargeek I completely understand it, but until now the GT3’s typically have NOT been sold at a massive markup, neither new nor slightly used. That unfortunate trend seems to have only become an issue over the past 7/8 years or so. Porsche frowns upon its dealers marking their cars up to the insanely high prices that other brands dealers do (like $150k+ for $75k C8, $130k+ for a $50/$60k Bronco or $270k for a $110/$115k new HUMMER EV). It’s just odd hearing all these supposed horror stories from folks when I’ve walked into two different Porsche dealerships in two different states and ordered two separate cars from people & dealers I’ve never dealt with before - one of which was a GT3. The other was a 991.2 Targa 4 GTS AND I’ve already spec’ed a GT4 RS that I’m currently waiting on to be delivered. I’m not the only member of my family or person I’m aware of that’s done this either."
63,Ugx6bgeRQkU1B1juDEN4AaABAg.9aLIbULYbI79bGEFh5nuDT,@Pineapple Tacos k
64,Ugx6bgeRQkU1B1juDEN4AaABAg.9aLIbULYbI79b7NXI-W0M2,@Pineapple Tacos tldr
65,Ugx6bgeRQkU1B1juDEN4AaABAg.9aLIbULYbI79b6ppzBExvU,"@Pineapple Tacos because the used was at the price before going higher of the new which I think is irrational and if I am going to pay that, I would rather order mine new to my taste. Also I have multiple cars and not in a hurry to get one, also that I thought I would wait 4 years max, then agreed with myself 8 especially because there was a world recession but I still asked for a car and didn't get it.
And by the way, I am not playing mister sensitive, it is my money, I spend it how I want. If I don't want to spend the price of new or much more than the price of new for a used car, of which I have had many in my life, I don't. Also, having a little bit of patience in life is not a bad thing but people going crazy and overhyping objects, people buying new cars they don't want to make a profit in 3-6 months is inherently a bad thing and for multiple strategic reasons, Porsche shouldn't sell them cars. (You never know when you are going to fall into the ""Burberry effect"", you know when at first your brand gets exposure but then it collapses because it gets the attention of the wrong people for the brand).
If you don't understand any of that then too bad for you."
66,Ugx6bgeRQkU1B1juDEN4AaABAg.9aLIbULYbI79b6ZblNkbSb,"@Kyusha Coming from a family packed full of both auto enthusiasts and Porsche fanatics AND the fact that I actually DO have an IQ over 50 I’m very well aware of what the car is, but thanks for reiterating what we all saw in this very video Caption Obvious. But saying just because it IS a limited edition vehicle that enthusiasts won’t buy it is one of the most (if not THE most) ridiculous bunch of nonsense I’ve ever heard. 911R’s, Speedsters and even the most recent 911 Targa 4S Heritage Edition have *ALL* been purchased by enthusiasts. Maybe not totally & completely by enthusiasts but they still WERE bought by them. Saying they won’t is just as equally asinine as saying someone isn’t a true enthusiast if they don’t work on their own cars — which, just for the record, is probably one of THE stupidest things I’ve ever heard uttered."
67,Ugx6bgeRQkU1B1juDEN4AaABAg.9aLIbULYbI79b6WrmVOEYA,"@Photoandcargeek Why the hell have you “been trying to buy” one for 12 years? There’s this nifty tiny little segment out there know as the USED car market. And for well over the last 12 years there’s been GT3’s, GT3 RS’s, GT2 RS’s and every other model in their lineup available in that segment of the market - typically with low to almost no miles on them whatsoever. Also not always at a Porsche dealership. So instead of being Mr Sensitive and getting all butthurt over what a dealer supposedly said to you, why - if you TRULY wanted a GT3 that badly - would you not explore ALL of your options? That just doesn’t even make sense to me."
68,Ugx6bgeRQkU1B1juDEN4AaABAg.9aLIbULYbI79b6T934V_0Y,@Pineapple Tacos ))
69,Ugx6bgeRQkU1B1juDEN4AaABAg.9aLIbULYbI79b5fGdUzvF8,"@Pineapple Tacos I wish that what you’ve described here was actually the case at the moment. Unfortunately, just about everything on PORSCHE dealer lots are going for well over msrp (aside from run of the mill Macans and Cayennes). Was at my local dealer a couple of weeks ago and saw $50k markups on both a 992 911 GTS and Taycan Sport Turismo GTS. At the time, even placing a deposit in the hope of securing an allocation for a 992 GTS required agreement to purchase at $25k over sticker. #1 on that list for allocation agreed to $80k over sticker. Since then, they’ve actually declined any deposits for “sports cars due the uncertainty around future delivery times”. Likely different scenarios depending on various markets and dealerships but not a good time for a normal guy like me to be trying to secure an allocation for anything (plus, out of principal, I’m not willing to pay over sticker)."
70,Ugx6bgeRQkU1B1juDEN4AaABAg.9aLIbULYbI79awExqS3MpX,"Even though I couldn't possibly afford this car,  I'm still mad that Porsche limited production to just 1,250 of these cars.  That means that even years down the line when a person wants to buy one with 125,000 miles it'll still be worth $80,000."
71,Ugx6bgeRQkU1B1juDEN4AaABAg.9aLIbULYbI79ah29KUildH,"Dude I love Porsche, but at the moment I can't afford her. I will afford her soon though I will make sure! 😭😭🙏🏿"
72,Ugx6bgeRQkU1B1juDEN4AaABAg.9aLIbULYbI79af14vyTkkd,Ha! good one
73,Ugx6bgeRQkU1B1juDEN4AaABAg.9aLIbULYbI79aXUl65ZYI7,"@Swamy Sez a gts offers a manual gearbox as well, but a 6 speed one, if you think the sport classic is worth 317k (the price of 2 gts' then youre not a true enthusiast, hell, the sport classic costs 100k more than the gt3 lol"
74,Ugx6bgeRQkU1B1juDEN4AaABAg.9aLIbULYbI79aXRf3kOrbh,"@Kyusha i think it depends on how you define a ""true enthusiast"". I think a manual transmission is part of that definition."
75,Ugx6bgeRQkU1B1juDEN4AaABAg.9aLIbULYbI79aXPhYcMfaL,@Swamy Sez and do you think a true enthusiast Will buy that over a gts?
76,Ugx6bgeRQkU1B1juDEN4AaABAg.9aLIbULYbI79aXJf3XhHB3,@Kyusha it has > 500hp motor with a  7spd manual. that alone makes it a unicorn
77,Ugx6bgeRQkU1B1juDEN4AaABAg.9aLIbULYbI79aWK7NwbHRV,Fancy seeing you here! love your channel!
78,Ugx6bgeRQkU1B1juDEN4AaABAg.9aLIbULYbI79aTz-P1otUd,sold at premium price to speculators as usual. And in a few years they will do the same with a speedster...
79,Ugx6bgeRQkU1B1juDEN4AaABAg.9aLIbULYbI79aTwoFOZplW,"Comes with a matching car cover, so they know the intended audience."
80,Ugx6bgeRQkU1B1juDEN4AaABAg.9aLIbULYbI79aTewxiAUog,@Damian Sasso only people that can’t afford it would say something so silly that real enthusiast wouldn’t buy this car.. lol I don’t get this mentality that people who don’t have the money are the purist lol….. prob the dumbest comment I’ve seen on the YouTube.
81,Ugx6bgeRQkU1B1juDEN4AaABAg.9aLIbULYbI79aTbXGAIQSa,I would love to get my hands on one of these 😍 Porsche please make the carrera classic a regular model 😭🙏
82,Ugx6bgeRQkU1B1juDEN4AaABAg.9aLIbULYbI79aSuYRl8Rqy,Fat chance. They'll be sold to flippers who are looking to make a quick buck. Sad.
83,Ugx6bgeRQkU1B1juDEN4AaABAg.9aLIbULYbI79aSRXSxz-Z-,"@andreas pashia Sad, they seem quite enthused about their car. Every porsche owner I know is an enthusiast. A Porsche is not about style it is about driving. The most reliable 365 day sports car you can buy and own for many, many years."
84,Ugx6bgeRQkU1B1juDEN4AaABAg.9aLIbULYbI79aRrF2cblJW,2.7 RS north of 2.2 million. Actually saw one the other day on the road.
85,Ugx6bgeRQkU1B1juDEN4AaABAg.9aLIbULYbI79aRr6wm-COZ,1200 ish all sold
86,Ugx6bgeRQkU1B1juDEN4AaABAg.9aLIbULYbI79aRmCOb0DQQ,Dolce vita
87,Ugx6bgeRQkU1B1juDEN4AaABAg.9aLIbULYbI79aQNWQkl6HF,Yeah good one
88,Ugx6bgeRQkU1B1juDEN4AaABAg.9aLIbULYbI79aQ4beCTfko,"@Photoandcargeek Sad indeed, but the truth is, Porsche doesn't really care...their cars sell like sweets, they don t have to advertise or anything, people are fighting to buy them...so why would they make it less exclusive, even more true on limited/high valued models...Everyone want to feel ""special"" and not wear/live or drive as the others..."
89,Ugx6bgeRQkU1B1juDEN4AaABAg.9aLIbULYbI79aPxslkzzQI,yeah that's not going to happen........
90,Ugx6bgeRQkU1B1juDEN4AaABAg.9aLIbULYbI79aP3lnyypfD,"Wishful thinking.... Porsche doesn't do that anymore. I was born in a family of Porsche lovers and owners and have owned one myself for 17 years, for the last 12 years I have tried to buy a GT3 only to be told that I wasn't worthy or more precisely that I would need to buy multiple new cars I don't need or want for the privilege of being allowed to buy a GT3. Porsche is becoming Ferrari and I hate that ... But still love the cars and my family still owns 11 classic Porsches but my next ""GT3"" won't be a Porsche and the following ones probably won't be either."
91,Ugx6bgeRQkU1B1juDEN4AaABAg.9aLIbULYbI79aOt8h9x04M,The 911 in this Ads. will be the most driven sport classic in the world. Hahaha
92,Ugx6bgeRQkU1B1juDEN4AaABAg.9aLIbULYbI79aOd0attPTZ,An awesome movie for an awesome car!
93,Ugx6bgeRQkU1B1juDEN4AaABAg.9aLIbULYbI79aNc1v6Q58v,"Hey, what you doing watching Porsche videos, your way too busy making the best superyacht information videos on YouTube"
94,Ugx6bgeRQkU1B1juDEN4AaABAg.9aLIbULYbI79aNNKWr3moH,@dz302g50911turbo but does that make it faster. Wheel hubs. Are you racing?
95,Ugx6bgeRQkU1B1juDEN4AaABAg.9aLIbULYbI79aNN44aKNUF,Will be another garage queen. Fondly remember driving a late 70s 911.  Handler but small cabin
96,Ugx6bgeRQkU1B1juDEN4AaABAg.9aLIbULYbI79aNJDq5KZen,@Damian Sasso It is exactly what a trim level is
97,Ugx6bgeRQkU1B1juDEN4AaABAg.9aLIbULYbI79aNFOiKIFQT,"@andreas pashia what cars are designed for these so-called enthusiasts who can't afford cars.  Doesn't sound like a good business proposition to design cars for people that can't afford to buy them.  Sounds like the ""enthusiasts"" who can't afford cars are posing as enthusiasts, not the other way around."
98,Ugx6bgeRQkU1B1juDEN4AaABAg.9aLIbULYbI79aNFCudVLvl,"@Kyusha its a manual 992 turbo (3.7L) with RWD only, which is a unique offering.  Was frequently seen on the nurburgring cause that powertrain and handling needed to be properly tuned since hasn't been offered yet in a car.  Its not just a trim level."
99,Ugx6bgeRQkU1B1juDEN4AaABAg.9aLIbULYbI79aN6lZB7uKP,"Sports cars aren’t made for enthusiasts. 

They are made for people with tons of cash to pose as enthusiasts. 

99% of actual car enthusiasts cannot afford cars in this price bracket. 

Look at the commercial that you just watch. They are showing a couple driving to the beach, taking pictures, in nice clothes driving slowly. This is what these cars are made for a Porsche knows it. They are for style. They are designed for the husbands wife not just the husband."
100,Ugx6bgeRQkU1B1juDEN4AaABAg.9aLIbULYbI79aN5MqWdg9p,It sold out before the commercial even aired.
101,Ugx6bgeRQkU1B1juDEN4AaABAg.9aLIbULYbI79aMuhva3U8X,"@dz302g50911turbo yeah, so? another 992"
102,Ugx6bgeRQkU1B1juDEN4AaABAg.9aLIbULYbI79aMt5qYptxT,"@Kyusha You are wrong-read the specs. Turbo Body, Fuchs center lock wheels, different spring rates, only in manual, gauges in RS theme, interior"
103,Ugx6bgeRQkU1B1juDEN4AaABAg.9aLIbULYbI79aMlvu1nF-o,"@Pineapple Tacos we are talking about a limited 911 model, it does not offer anything that different from all the others 992"
104,Ugx6bgeRQkU1B1juDEN4AaABAg.9aLIbULYbI79aMe_OnMATJ,"@Kyusha LOL Really? What about the Carrera GT? The 911R? Or even the 918 for that matter? Then there’s the 997 Sport Classic that enthusiasts & collectors alike flocked to. And look at the 718 GT4 RS. NOT a limited model, no, but a model that a MASSIVE amount of non-Porschphile’s claimed wouldn’t be a hit nor would enthusiasts be interested in but they’re not only selling like mad BUT there’s a 2+ year wait list to get one."
105,Ugx6bgeRQkU1B1juDEN4AaABAg.9aLIbULYbI79aMc1VBU9Ij,"@Nikesh Sharma I don’t think so. Porsche, like many companies, has gotten a little pissed at dealerships who’ve done it in the past. Them being the company that they are (one who prides itself on both listening to what their customers like/want/don’t want AND making them happy have threatened pulling their “authorized dealer” status and/or refusing any further allocations they may be due. Now if only other companies would follow their lead & do the same with their dealerships we wouldn’t see Hummer EV’s at $250/$275k when they retail at $110/$115k. Or $50k Broncos selling for $100-$150k."
106,Ugx6bgeRQkU1B1juDEN4AaABAg.9aLIbULYbI79aMLghjPQqV,real enthusiasts won't buy a limited model in the first place
107,Ugx6bgeRQkU1B1juDEN4AaABAg.9aLIbULYbI79aMH1pEaDNt,"Dude we, enthuasiasts are poor."
108,Ugx6bgeRQkU1B1juDEN4AaABAg.9aLIbULYbI79aMCp5ulOHg,X Doubt. It will be sold for twice its MSRP and Proche will make fewer than they promised.
109,Ugx6bgeRQkU1B1juDEN4AaABAg.9aLIbULYbI79aLo0sTG87j,"@aviator2492 Who said anything about Touring models?? And yes, they may very well be sold out but that doesn't mean you wont find quite a few scattered across the globe at various & numerous dealerships. They always do. And there's probably a few that some folks have bought with intentions of flipping them as well."
110,Ugx6bgeRQkU1B1juDEN4AaABAg.9aLIbULYbI79aLVNiHAQCz,"all sold out as usual. its not a Touring, its limited."
111,UgyD0z6Wz4ddXt8vgSl4AaABAg,"As a 21 years old enthusiast, this makes me feel nostalgia for an era I haven't even been a part of"
112,UgyAW37aD9aqdnJPQ354AaABAg,An absolute dream to make such a beautiful commercial film for such a stunning car! Love the artistic cinematography used in this film!
113,UgzzrHwM8v1EzFPKNy54AaABAg,"Porsche is carving its own special place in my heart.
Whatever you're doing, keep doing."
114,Ugzn-njYzYHWlX3-a2J4AaABAg,"This is actually such a great movie. Good job, everyone involved. 
That 992 Sport Classic isn't bad either."
115,UgwKVapT6SYC5fP8XrZ4AaABAg,"The 911 Sport Classic is the perfect expression of Porsche's heritage. The retro-mod touches in the interior, the beautiful badging, the stylish duck-tail, every detail screams Porsche. What a beautiful machine! The 911 has no rival."
116,UgwKVapT6SYC5fP8XrZ4AaABAg.9aLLgwssQKd9aN09f8hxg1,@Enrique Vergara yeah ur right but i don't know why they didn't do a turbo and a turbo s version of the targa and they stopped with a gts the maximum that u can get it's really shame
117,UgwKVapT6SYC5fP8XrZ4AaABAg.9aLLgwssQKd9aMxetbm8E6,"@Vroom32 5 I completely agree, actually the Targa is my ultimate Porsche dream. They are doing a wonderful job with the heritage editions. I can't wait for the other 2 to come."
118,UgwKVapT6SYC5fP8XrZ4AaABAg.9aLLgwssQKd9aMwkwCrHrd,The targa too 😉
119,Ugy8OiB48vKMrcfkXOd4AaABAg,"What a great commercial, goosebumps. The villa, the record player, the clothes and of course the car(s) and the great voice of Shirley Bassey. The whole setting is spot on, I was immediately back in those wonderful seventies, when there were more commercials like this such as the unforgettable Pall Mall commercials."
120,UgyL3m7UZUqMlN4bQtd4AaABAg,"Very Well Done Porsche! This video stirred up so many emotions about life, partnership and passion for the good things in life.   Love the Sport Classic 997 and now 992 so much!!  Bravo Porsche!"
121,UgxO6T69-r0WhdlmOsx4AaABAg,I think I watched this 8 times already. I absolutely love this commercial masterpiece. All I want to do after seeing this is get in my Speedster and drive it all day… can’t wait to see this car.
122,UgxPAidok11td6T3HUR4AaABAg,I cried so much the memories of the days gone by and I'm now 60 years old.... Thanks porsche 911
123,UgxPAidok11td6T3HUR4AaABAg.9aO6saalDl19bhA64vFWw5,"I am 39 and I really appreciate how everything was in the past, style and all. This advert nearly makes me cry every-time I watch it. Too good."
124,UgxPAidok11td6T3HUR4AaABAg.9aO6saalDl19aOs-0Ny-C2,I too got rather emotional watching this as in late 60s early 70s I spent holidays on Cote D'Azure with my parents. They are no longer with us but this film is perfect. Thank you Porsche 🙏
125,UgwKiTqIVvPgzCY4C654AaABAg,"Possibly the best commercial clip I've ever seen. The atmosphere, the recording, the images and all that together with the beautiful music of Shirley Bassey."
126,UgwKiTqIVvPgzCY4C654AaABAg.9aMFDpoTFHe9az0_A-U5j5,👌
127,UgwKiTqIVvPgzCY4C654AaABAg.9aMFDpoTFHe9aXPM_QDo7O,They don't call her Bassey the belter for nothing.
128,UgxSzDuthmfLJAHvatN4AaABAg,"I thought I wanted a GT3 Touring in manual... But yesterday I saw this in configurator and immediately knew this is the one I didn't even know I wanted :D And this movie is so lovely. Connecting the past with today in an iconic manner, and the song compliments it beautifully."
129,UgynVZhe1-S8UmUZukd4AaABAg,"Absolute perfection! 💯 Porsche does it again, right down to the MANUAL transmission and the lovely ducktail."
130,UgxGoDtvjlr46qFvQkN4AaABAg,"A very well made advertisement, Porsche. Great models, great composition, and obviously a great car. Keep this good work up!"
131,Ugwher7Td5Ax3BDX3cp4AaABAg,Gorgeous car. Great looking 911 🤟🏼Love the production of the video as well.
132,Ugxvj0gWSPGrDrD1U514AaABAg,"at 0:46, the odometer reading is ""1963"" the year the 911 was unveiled to the world, the sheer detail in the filmmaking of this commercial represents the ethos of Porsche so well. Bravo"
133,Ugxvj0gWSPGrDrD1U514AaABAg.9aMOFKeNeNQ9cWv_vmw0vz,Wow  got it 👻 thanks  👍👍👍👍
134,Ugxvj0gWSPGrDrD1U514AaABAg.9aMOFKeNeNQ9bDvQrGTEpR,as a porsche collector i love this video.
135,Ugxvj0gWSPGrDrD1U514AaABAg.9aMOFKeNeNQ9bC8BTBXKa3,"and they use ""Shirley Bassey - Where Do I Begin"" as back ground soundtrack which was released in 1973. @0:16 911 Carrera RS 2.7 on the picture was released in 1973 I guess? so both of them are in the same era. that era I was not even born yet, but I can feel the vibe at least. I mean every details in this video is terrific and very thoughtful.  Please correct me if I'm wrong."
136,Ugxvj0gWSPGrDrD1U514AaABAg.9aMOFKeNeNQ9amYco1GkTJ,Goddamn you are right
137,Ugxvj0gWSPGrDrD1U514AaABAg.9aMOFKeNeNQ9alsTFRnAGo,"Fucking amazing, that point!"
138,Ugxvj0gWSPGrDrD1U514AaABAg.9aMOFKeNeNQ9acWr87TyzW,Wow
